,Comments
14345,OP 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
14346,🙏🙏
14347,2:49 I have same habits😂mai wapas jaake check karta har baar 🙃
14348,Maine abhi elective choose kiya hai😂
14349,Ho jaaoge pass...tension mat lo...✌🏽✌🏽✌🏽
14350,Bhaiya tips of jee 2022
14351,"1:50 I laughed a lot😂😂
Sorry but ya😂😂"
14352,😃😃❤️🔥🙏🏻
14353,"@Ajay bhai mein aapka channel kafi time sa follow kr rha hu pls reply🙏🙏bhai meina Msit(IPU) mein iss sall admission la loya ab mein jee ka liya drop la rha hu,@Ajay bhai kya muja roz college ki cls lgani hogi kyoki iss sa mere Time waste hota hn.Aur bhai kse manag kri kuch smj nhi aa rha .bhai Ek yeh jarur bta dena ki 1sem ka exam online hoga ya offline .taki uss hisab sa prep kr sku.pls reply 🙏🙏bhai drop ka saath 1sem mein manag ho skta hn ya nhi."
14354,"Bro, what's your placement CTC ??"
14355,"Bhai pls reply mein bhi DTU mein hu ,bhai aapke hisab sa 1st sem ka exam online hoga?.pls reply🙏aapka channel kafi time sa follow kr rha hu."
14356,The way you said content creator at 1:50 🥰😂
14357,bhaiya bhura Mtt manna video funny thi 😂😂😂😂 last main 🤣🤣🤣🤣🤣🤣
14358,In love with story telling 😍 n even smile 😊❤
14359,Ha vai fail hi hoga YouTube bakchodi karne se free ho to padho na
14360,Jinne Mera Dil Lutya ...
14361,😆😆
14362,Pro level 🎊🎉🎊🎉
14363,Waiting for series 😅😅😅😅
14364,Bhai coding ninjas full vyapar fella rha hai
14365,bhai tu sachme fail hua h ya content banane ke liye fail hogay.... 😂
14366,Bhaiya agar ham last semester ke exam me fail ho jayenge toh job rahegi ya chali jayegi
14367,Paas ho jaoge 😅
14368,"Engineering ye bahut kuchh sikha deta hai
Jindagi jeena kaise hai❤️
Aur problem ko face kaise karna hai🙃
Ek din me 400+ page's ka assignment submit karna 😎
Ye kaam sirf ek engineer hi kar sakta hai🥲😍🤩🙏🙏✌️"
14369,"Kabhi online padhke offline exam do, jisme A+ aana chahiye tha unme bhi back lag gyi 😑😑😑😑"
14370,2:55 I think this is OCD what you are telling about
14371,"DTU ke exam department par  bharosa matt karna regulry contact mai rhena jab tak problem resolve nhi hoti, Exam department wale bhul jate hai , or ek mai Dean UG Madhusudhan sir ko bhi kardo."
14372,2:35 same situation bhai 😂
14373,❤️❤️
14374,Are bro 🤣🤣🤣🤣🤣 nice case study
14375,Congrats
14376,"bhai mere saath bhi yahi hota hain , ghar par taala maar deta hoon aur jab bahar jaata hoon toh yahi soochta hoon ki taala maara ki nahi aur gas band kari yaa nahi, geyser band kara yaa nahi BTW NICE VIDEO SIR JI , I M FROM DTU COE FRESHIE AAP SE MILA BHI THAA CANTEEN MEIN"
14377,full aesthetic effect chal rhe bhai
14378,Bhai can anybody give me notes of first semester CSE please
14379,❤️🔥
14380,Great vedio
14381,Main bhi hua hoon bhai🙂✌️
14382,😄😃😅😂🤣🤣🤣
14383,Ah mujhe laga tha ye MOOC wagera mere hi college k chochle h.. Sabke h
14384,Your videos feel more and more like Irfann Junejo
14385,"Are ajay bro....""F” means ""FANTASTIC"""
14386,"Bhai pass ho jayega tension na le. Mere sath bhi ek scene hua tha, par ho jata hai manage"
14387,Background music was 🔥😂
14388,last seen next level😂😂😂
14389,Op bahiya
14390,"This storytelling was very creative, especially the semester and electives part."
14391,"Kya positive Insaan ho bhaiya aap,"
14392,Bgm of video 😂😂👌👌👌
14393,ise kehte hai negative me positive khojna ...be positive at the end everything will be fine😊🙃.
14394,Company kb reveal kr rha h
14395,video editing skills op bro👍👍👍
14396,video dekhr mujhko darr lag rha hai for my 7th sem result ....
14397,🔥
14398,Welcome to engineering brother 😎
14399,Mera saat b asa kuch hua  pura sem exam miss ho. Giya phone kharab hona k waja sa..
14400,This is amazing bhai you really set a standard ke yaar aise quality ke videos banane hai
14401,Fail pass jaye bhad mein ajay bhai ko content chahiye 🤣🤣🤣🤣
14402,More strength to you♥️🔥
14403,"Bhai koi professional, thori achi dp laga hi lo🤣😂👍"
14404,"Bhai Humare ONLINE SEM 1 hone wale h...Online exam m Jugad ka kuch bata do😂😂😂
#BackBanchers"
14405,Online exam m jugad kaise lagye ye v bta do bhaiya😂😂
14406,"bhai jo chij aap bata rhe ho vo mere sath bhi tha jo "" OCD"" naam ki ek bimari hai aap ise youtube par bhi search kar skte ho ye bhot bekar bimari hai bhai merko bhi bhot mushkil ayi thi ise chhodne mai"
14407,3:43 😂😂😂👌
14408,Koe bat nhi bhaiya bade-2 deso me aise choti-2. Bate hoti rahti h....😎😍
14409,aappe 2 F's lage toh aapke parents ka kya reaction tha?
14410,Hoping for the best
14411,College website scam 🥲
14412,Bhai ab placement ka kya?? Backlog lagi toh placement cancel hogi mtlb?
14413,Bhaia bloopers bhi daal skte ho apni videos me
14414,Bhaiyaa agr main fail kr jata hu semester exam mein ya fir collage nikal deti hai mughe km cgp ke karn to mere liye koi option hai please batao aap ?
14415,Bhaiya dono mooc mei pass to hogye na ?? 😅
14416,Bhai teri mrne to bgwan swayam aye the🤣🤣🤣🤣
14417,🥳❣️ Chah rhe ho jaani
14418,Asli Almari bina rack aur degree bina back nhi hoti.🤣🤣 Ajay bhaiya op 🔥
14419,click bait
14420,Sir 😍♨️
14421,Koi nahi Ajay bhai kar loge aap 👍
14422,"Bhaiya jaise aapka 2 MOAC Fail ho gye .
Iska koi effect placement mein pdega .
But placement pehle hi lag gyi hai ."
14423,Stupid content!!!
14424,😂😂😂 waah bete waah
14425,Bhai editing level OP  🔥🔥🔥👌
14426,Bhaiya duble ho gye h. Khana samay se khaya kro!❤️
14427,Same pintch ajay …Me also failed in 7th sem mooc 😂 after getting placed we don’t even know where we are 😂
14428,"As you always say - ""Gods plan is better than yours""

Hope they'll accept the Certificates... 🤞"
14429,"4 semester me hu Abhi tak 15 din college gyi hu😂
2 semester  me bas
Ab pta nhi kab jaungi😂
But aap ki vedio dekh kar Acha lagata hai❤"
14430,"after failing
others : stop making content and focus on studies
ajay bhai : gets new ideas lol

koi nhi sab theek ho jayega"
14431,"Bhai hamare to relative grading hoti hai, online semester me sabke marks badhe par grades nahi xD"
14432,"Fail hone pe bhi content bana diya, ajay bhai Wah !.  Par I hope pass ho jaoge job nahi jayegi..
Tabhi to refferal doge"
14433,really like your color grading and whole vibe 🔥
14434,the ending is always epic
14435,2:36 same yaar mere bhi aesa hi hota he abhibhi ho rahhe Kaya hi nai he
14436,Certificate ke chakarr mein lagg gye🥺😭
14437,Bhaiya plz make a video on how to manage coding with studies in btech 1 st sem
14438,"Ajay bhai loving 💥these video's your are making right now, but even missing your vlogs style videos do try to make them often Ajay bhai if possible baki op 🔥"
14439,2:38 same happens with me
14440,Jab meine video start ki mujhe aisa lga jaise koi classical content shuru hone wala hai 😂
14441,👍👍
14442,Lifetime sponsorship with coding ninjas?
14443,Bloopers 😂😂
14444,Khushi dekh rhe ho lounde ki
14445,Movie kab start kar rahe ho banana? Role ke liye audition ke liye tayar hun main 😂
14446,Content👌😁
14447,🤞
14448,😊😊😊😊😊😊BHAIYA CAN U PLEASE TELL ME MINIMUM MARKS IN JEE MAINS TO GET CSE BRANCH IN DTU 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
14449,Bhaiya apka flashback mera present hain 😂
14450,"Quality of this video is superb Full MKBHD vibez😍🤩 your story telling, the way you take us thru a journey in a video, soothing music, class editing This man is killing it👌😊🙃."
14451,Hme bhi krwya the coursera ka
14452,yaar ye sach me inki websit bhot pareshan kari he. Ek engineering college ek dhanki site nahi chala sakta. Hamare prof bata rahe the Admin ne 50L lagaye the DTU erp par.
14453,bACKGROUND MUSIC IS EPIC
14454,"Bhaiya i am in 11th class i am inspired from you in making of amazing story telling like you. 
But due to studies I can only give just an hour per day in video production. 
PLEASE TELL ME SHOULD I INVEST IN EPIDEMIC SUBSCRIPTION?
Also please tell me weather I am going good or not."
14455,mujhe lgta ye video mujhe bhi bnani padegi ! 😂
14456,Bhai video quality bahut zyada improve ho gyi h....
14457,Hi 💘
14458,"F 
















F grade 🥲"
14459,"i am your biggest hater i am commenting here and not u i am biggest hater of yash garg ,harman singh ."
14460,bro 2:45 it is called ocd i also have ocd but extreme level pls tell how u solve it urself
14461,"Ajay bhaiya I am currently in 1st semester can you make a vedio on how to manage college studies with coding I mean to say how to manage subjects like physics, mathematics with coding practice"
14462,Kya content mila op Ajay bhaai 😂😂 me kese fail hua online me 😎waaaah waH Wah
14463,Bhaiya apki jee rank kya thi😅 by the 100k soon 🤩🤩
14464,Mei thi fresher hu dtu ka ek bhi cheez samaj nahi araha 😌😌
14465,Bhaiya aapka (ocd ) bimari hai please consult to your doctor
14466,dil se khushi hui yrr ki tu fail hogaya
14467,Bhaiya u are my inspiration
14468,1st Time so Early ❤🔥🙏
14469,Hii Ajay .....nyc editing bro ... 👍
14470,Ajay bhaiya 1L soon😗❤️
14471,"Bhi iiit ranchi kesa college hai 
Reply"
14472,Dsa for beginners plz
14473,First View
14474,Koi baat nhi bro 😎
14475,😢😢😢😢
14476,Op ❤️
14477,First view
14478,100k aa rha hai😌
14479,Ajay bhai one like pls
14480,Aa gye ajay bhai❤️❤️
14481,Sir aap gurugram mein rahte hai plz reply
14482,Sir hame software developer bahna hai sir but app guide kar digye plz
14483,"10:05 is the best part
Shubham bhaii song - agar tum mil jaoo hilanaa chod denge hum😂😂"
14484,"Nice one bros .
.ra_na_av"
14485,Please help me bhaiya mujhe apse future related guidance chahie please aap mujhe baat kre I need your help bhaiya
14486,Bhaiya mere 10th me 87 aaye hai apple kitne aye the mai delhi se huai bhi dtu me jaana chahta hu
14487,Outstanding guys ❤🔥💯
14488,6:57 wo bhi nikalu kya 💀😂
14489,Agar tum mil jaoo song was awesome😝🤪
14490,pita ji ka reaction dalna chahiyeh tha gift lete waqt toh aur maja aajata video m
14491,friends group ho toh apke jesa travel bhi sth masti bhi sth coding bhi sth ek dum full package
14492,Love you bhaiya.. Apke kaaran dtu me jaane ka mnn kr diya.. ❤❤😊
14493,Last wale bhaiya -- salary kitna loge discuss kr le
14494,Garibo ki life aisi hi hoti hai. Ghade ki tara kam karne wale log 😂
14495,Aisi ghatiya life se acha hai to engineering chod du
14496,What is your salary??
14497,What is your salary??
14498,Yeh ring light piche kyu lagai hai🙂🤣
14499,Video is too good but subhanshu sing ❤❤
14500,Salary to bataya hi nahi 😅
14501,suvam bhai yeee konsaa gana gaa raha thaaa!!!!!!!!!😂😂😂😂
14502,Bhai ek break-up story pe video banao
14503,Bro what's your package at paytm??
14504,"Es video me most funny part 07:09 se start hota hai, jab ajay bhai rice plate me laga rhe hote hai. 🤣🤣🤣.  ""Ajay bhai aaram se.. Tum Ba.."". Kya content hai maza aa gya."
14505,Camera kons hai bhai?
14506,"Privileged life ! 
I'm security guard salary 8000🙄"
14507,🙏🙏🙏🙏🙏♥️♥️🤲🤲🌺🌺🇮🇳🌺🇮🇳🌺
14508,Are you software developer?
14509,I want to made a software engineer because it's my dream♥️♥️ I am 14 year old
14510,loved your vlog bro! 🔥
14511,Papa kya bole bhaiya
14512,7:03 wo bhi nikalu kya
14513,Reaction oooooobhaihab🤣🤣🤣
14514,Bhaiya i want to asked that ...which language should I learn first before joining college this year.. means which help me in future also
14515,"I am starting my software engineer study, and my study is total 6 years, I am software engineer in 2029 , can this field good in 2029"
14516,"hello sir! Love your videos. Please make a video on Unstop Recruitables 2023, the biggest off campus hiring drive. The highest package is INR 25 LPA and you video will help a lot"
14517,bhai i am here the 3rd timeee one of the best vid here
14518,"Carry on the good work brother!
Love your videos
Love from Nepal❤"
14519,10:04 😂😂🔥 best part
14520,Strumming pattern bata do plxz
14521,To bhaiya uncle ji ne kya kaha ^^
14522,"The best part starts from 11:20 how he sycn the music in the video 
im loving it
😇😊"
14523,aur bhayia aab aage ka kya plan hain
14524,bhai wait krra hu next vdo ka 🥺🥺
14525,"7:05  was the funny moment 😂😂🤣..""woh bhi nikalu kya.."""
14526,Big fan bro
14527,Reality of high package international and domestic
14528,Laddakh ki series kab aayega
14529,Ajay bhaiya main na yaar aape videos ka wait karta hoon.... kyunki yaar aapke videos ki vibe hi kuchh alag hoti hai.....
14530,Ajay bhai next video kab aa rahi hai 😣😐
14531,Bhaiya Instrumentation engineering at IIT Kharagpur ka review kar debo bhai
14532,Life hoto Ajay Bhai ke jaisa 😀
14533,7:05 sound is enough to predict.🤣
14534,Bhai age kya hogi bhai aapki
14535,Latent heat me cook 😂😂
14536,Hostel life hi kai students ko barbaad kar deta he
14537,Make these kinds of videos. I can relate to this kind of life.  ❤️
14538,"Bro whats ur package in paytm U have not yet revealed yet...???
and i have placed In Cognizant currently pursuing 7th sem BE in mechanical engineering 
is it shift to IT as Core branch Will it be able to survive there as a non IT  ...???
Love from Bangalore Ajay Bhai.."
14539,Aap kon college se he
14540,7:06 woh bhi nikal le (●'◡'●)
14541,Thank u so much bro from aman musicals❤❤
14542,Beer😂😂
14543,Bhai maa k phone wala scene op thaa🤣
14544,"Bhaiya my name is lakshya and I AM 20yrs old and I failed in jee no one helped me in my preparation and now I am stopping my jee preparation and now I am starting my carrer in software development and also I am financially
 weak so how can I become a software
 engineer without no cs degree plz help me 🙏🙏"
14545,10:00 😂😂
14546,"7:05 ha bhaiya thoda control karna, video record ho raha hai 😂😂"
14547,aapne bahot accha play kiya but need more practice . music ka pass bahot power ha dhera dhera love ho jayaga music sa
14548,super bhaiya🥰🥰
14549,Ajay Raj you are looking like hritik roshan bro
14550,Please sir internship ke baare m bta dijiye kabhi
14551,Love you bro .best of luck your future'
14552,Bhaiyaa agla video kab ayega
14553,Papa kush hoye ?🤣
14554,Chammach se kon khata hai😂
14555,"Next video kab aa raha hai @ajayraj1958 bro 😍
I liked the way of shooting and editing.
Just a pleasant experience to watch."
14556,This Sugam guy dude is cool
14557,hostel ki yaad dila di bhai
14558,8:46 Salmon bhai in tears 😢😂
14559,"yrrr yahe hi chaiye thaaa
sd"
14560,"best part jab mammy  jii guide kar rhi thi how to cook
"
14561,"Bhai pls ek video bano, ki dayscholar hote hue bhi, aapne kaise frnds banaye , plssss pure YouTube pr aisi video nhi h"
14562,Bhaiya apka college aur branch kaun sa hai pls bataiye
14563,"41%+20%~61% NAHI HOTA ,AAAS PASS BHI NAHI HOTA . 53 PERCENT KE AAS PASS HOTA HA"
14564,As said a engineer always have something special ❤ and we can see from all 3 of you 😍
14565,Ajay bhaiya your videos are best and Best storytelling 😍😍
14566,Ek ajnabi haseena se yun mulakat ho gyi can you please tell his name
14567,Bhai kis sector m rehte ho.
14568,"ye to kutte jaisi life lag rahi hai, koi khane ka puchne wala bhi nahi"
14569,great life
14570,stackoverflow is mom when you dont know how to start cooking
14571,i am also from Gurgaon someone help me to find job i am fresher
14572,oo jaane Jana 😂
14573,😄
14574,Ager vo nhi mile to subham bhai hilana nhi chodege 😂😂
14575,Bhau mst ekddmmm 
14576,"At 8:45 my heart beat faster than normal and its feel like I'm going in another heaven 
Love u bhaeya from my deep of heart"
